sitting,20
spot,20
gigantic,20
fain,20
raised,20
sleeping,20
outer,20
past,20
ways,20
profound,20
slightest,20
died,20
father,20
prow,20
laid,20
billows,20
hanging,20
here’s,20
moreover,20
hailed,20
sink,20
thyself,20
invested,20
advance,20
dignity,20
evinced,20
golden,20
cruising,20
lowered,20
terror,20
gunwale,20
dat,20
copy,19
aboard,19
pictures,19
glory,19
try-works,19
lamp,19
log,19
empty,19
“in,19
swim,19
master,19
ribs,19
largest,19
ordinary,19
spermaceti,19
pilot,19
vicinity,19
tree,19
quietly,19
leaves,19
lies,19
deeper,19
ain’t,19
united,19
states,19
presented,19
dim,19
worse,19
minutes,19
floor,19
beginning,19
yellow,19
concluded,19
game,19
marked,19
smoking,19
precise,19
awful,19
hunted,19
solitary,19
eternal,19
upwards,19
terrors,19
lad,19
swiftly,19
reached,19
merely,19
whaler,19
casks,19
thunder,19
nantucketer,19
advancing,19
squall,19
sorts,19
rapidly,19
starbuck’s,19
whalers,19
pole,19
radney,19
parsee,19
lee,18
lowering,18
lightning,18
pale,18
whereas,18
modern,18
forced,18
atlantic,18
observed,18
engaged,18
ishmael,18
content,18
yonder,18
hollow,18
beach,18
pay,18
difference,18
nameless,18
bedford,18
ice,18
presently,18
england,18
opposite,18
crossing,18
sought,18
seat,18
height,18
kings,18
sake,18
met,18
inside,18
dropping,18
understand,18
thereby,18
anchor,18
prodigious,18
jacket,18
fight,18
lying,18
places,18
wife,18
leave,18
silence,18
spite,18
son,18
fall,18
gives,18
regularly,18
future,18
owners,18
gentleman,18
breeze,18
intense,18
let’s,18
“thou,18
officers,18
horizon,18
chiefly,18
revealed,18
seized,18
period,18
scuttle,18
precious,18
agreement,18
license,17
blacksmith,17
delight,17
immediately,17
friends,17
gabriel,17
islands,17
“that,17
voyages,17
weight,17
bring,17
fail,17
bore,17
sing,17
christian,17
numerous,17
bold,17
interest,17
east,17
west,17
trunk,17
picture,17
instance,17
jolly,17
thrust,17
drive,17
cannibal,17
world’s,17
telling,17
trying,17
lips,17
rate,17
evening,17
ones,17
guess,17
tomahawk,17
previously,17
flame,17
fatal,17
figure,17
dragged,17
stuff,17
whence,17
gaze,17
rocks,17
inserted,17
hitherto,17
spirit,17
native,17
sent,17
madness,17
captured,17
affair,17
shape,17
dost,17
originally,17
rise,17
longer,17
leviathans,17
solid,17
continually,17
example,17
thin,17
don,17
anywhere,16
pulpit,16
prophet,16
fast-fish,16
loose-fish,16
roll,16
including,16
heavens,16
motion,16
breath,16
spouts,16
god’s,16
special,16
charge,16
respect,16
crews,16
stroke,16
main,16
mystic,16
impossible,16
whenever,16
thousands,16
carries,16
meaning,16
oceans,16
jump,16
putting,16
keen,16
earthly,16
invisible,16
unaccountable,16
floated,16
proved,16
pleasant,16
careful,16
fairly,16
clean,16
plank,16
actually,16
showed,16
furnished,16
neck,16
slid,16
heat,16
remember,16
months,16
civilized,16
lo,16
behold,16
individual,16
brave,16
fate,16
fully,16
distinct,16
starboard,16
paused,16
straits,16
feels,16
amid,16
rush,16
drink,16
happened,16
fro,16
“well,16
uncommon,16
beef,16
flames,16
he’ll,16
encounter,16
encountered,16
minute,16
scientific,16
horizontal,16
folio,16
porpoise,16
race,16
mentioned,16
additional,16
oarsmen,16
character,15
tun,15
public,15
animal,15
sit,15
pains,15
sword,15
boiling,15
moving,15
twelve,15
frequently,15
supposed,15
afraid,15
mention,15
immense,15
sir.”,15
rushed,15
return,15
rare,15
isles,15
town,15
ourselves,15
knowing,15
marvellous,15
helped,15
endless,15
doing,15
weary,15
pushed,15
doom,15
muttered,15
spray,15
plenty,15
grass,15
wrinkled,15
working,15
space,15
bad,15
violent,15
shouted,15
breaking,15
disappeared,15
tried,15
save,15
employed,15
palms,15
ill,15
dry,15
keeping,15
troubled,15
shock,15
ages,15
drag,15
dog,15
signs,15
watching,15
using,15
exceedingly,15
seek,15
apart,15
marble,15
thine,15
shadow,15
utmost,15
missing,15
freely,15
roman,15
fit,15
fore,15
silently,15
shake,15
devils,15
position,15
sank,15
wise,15
pitch,15
perilous,15
marks,15
secured,15
grown,15
books,15
ends,15
noon,15
nearer,15
children,15
foolish,15
frantic,15
latter,15
yield,15
grey,15
heaving,15
elephant,15
latitudes,15
critical,15
torn,15
flag,15
lifted,15
ii,15
compass,15
irons,15
spine,15
cunning,15
contact,15
blind,15
pumps,15
tackles,15
it.”,15
donations,15
queen,14
mountains,14
stars,14
meets,14
ambergris,14
dying,14
gay,14
sixty,14
other’s,14
fly,14
summer,14
rock,14
towing,14
equal,14
reference,14
london,14
colour,14
mariner,14
wish,14
capture,14
points,14
leaping,14
probably,14
send,14
indirectly,14
returned,14
throw,14
city,14
streets,14
receiving,14
phantom,14
lungs,14
officer,14
ah,14
tormented,14
arrived,14
partly,14
bag,14
crossed,14
quarter,14
meant,14
faces,14
corner,14
glass,14
window,14
shadows,14
entered,14
fill,14
mounted,14
joy,14
considered,14
spoke,14
continued,14
moved,14
child,14
closely,14
inch,14
glided,14
events,14
worth,14
laugh,14
hue,14
canvas,14
planted,14
forming,14
notice,14
grew,14
immortal,14
unseen,14
continual,14
opening,14
written,14
need,14
locked,14
wound,14
pointing,14
reach,14
gliding,14
gained,14
asked,14
foam,14
“look,14
leak,14
direction,14
carrying,14
food,14
effect,14
superior,14
barrels,14
yojo,14
rushing,14
chased,14
foe,14
perceived,14
deemed,14
laws,14
intent,14
heave,14
split,14
darting,14
firm,14
terrific,14
row,14
dough-boy,14
steward,14
binnacle,14
customary,14
